rowid,Currency Symbol,Total Records,Merchant,Affiliate ID,Username,Site ID,Creative ID,Creative Name,Type,Member ID,Registration Date,Member Name,membercountry,ACID,Deposits,Net trans_to_fee,trans_value,% Commission,CPA Commission,CPA count,Total Commission,New
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1932279,3/31/2017,92013106,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1123956,1/22/2015,53018937,GB,,268.7555,105.2986,2788.3956,21.0598,0,0,18.23359307,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1130006,42553,72581568,AT,,0,9.8333,280.95,1.9667,0,0,1.702770563,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1132698,8/15/2013,41626364,GB,,0,2.2748,76.898,0.455,0,0,0.393939394,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1471476,41675,46057746,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1543842,7/21/2016,81381214,GB,,2.1845,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1551362,7/27/2016,81662821,GB,,0,3.4275,187.6456,0.6855,0,0,0.593506494,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1565400,40239,15283728,GB,,0,1.0862,75.9535,0.2172,0,0,0.188051948,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1702544,11/17/2016,27306491,,,0,4.7535,161.0719,0.9507,0,0,0.823116883,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1698098,11/14/2016,87908645,GB,,0,1.1322,32.3487,0.2264,0,0,0.196017316,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1826282,1/29/2017,90109885,GB,,1.6105,3.8781,193.9029,0.7756,0,0,0.671515152,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1123597,4/29/2014,46006036,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1123965,42709,77591517,HR,,0,3.6776,97.1676,0.7356,0,0,0.636883117,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1128061,4/21/2014,45884156,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1129797,2/25/2014,45065426,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1132907,9/30/2015,66036141,IE,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1816915,11/30/2016,88434174,GB,,6806.2256,447.771,16710.2455,89.5541,0,0,77.53601732,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,2053363,5/23/2017,93526574,GB,,323.175,16.55,590.1682,3.31,0,0,2.865800866,1
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1132703,41857,46599426,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1540971,42528,80661414,GB,,26.2665,1.41,25.7768,0.282,0,0,0.244155844,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1588235,8/19/2013,41705787,AU,,0,5.6297,45.9277,1.126,0,0,0.974891775,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1699705,11/15/2016,78862455,,,2036.9464,29.9084,1705.0246,5.9817,0,0,5.178961039,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1884111,42797,91159012,GB,,0,9.7572,260.3719,1.9512,0,0,1.689350649,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1932277,3/19/2017,91658027,GB,,535.8255,10.9092,431.4553,2.1818,0,0,1.889004329,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1989901,42830,93011991,GB,,0,30.7949,883.1894,6.159,0,0,5.332467532,1
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1128071,10/24/2015,67132313,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1660313,10/16/2016,85803726,GB,,0,3.3086,102.6469,0.6617,0,0,0.572900433,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1709364,11/21/2016,88132047,RO,,0,74.158,2269.8175,14.8316,0,0,12.84121212,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1123596,3/31/2014,45568120,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1123944,41400,40183936,GB,,0,2.4047,109.1369,0.481,0,0,0.416450216,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1127654,5/25/2011,22586601,GB,,0,0.2327,15.5101,0.0465,0,0,0.04025974,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1129796,2/15/2014,44922330,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1471466,41520,38294191,BR,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1698286,11/14/2016,81894669,,,0,1.4497,25.9973,0.2899,0,0,0.250995671,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1844602,42888,90373383,GB,,0,5.1935,259.6731,1.0387,0,0,0.899307359,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1863002,2/17/2017,90712965,GB,,0,26.1576,1307.8823,5.2315,0,0,4.529437229,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1932278,3/30/2017,91967217,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1123605,42583,71018096,AT,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1128067,9/20/2014,48141403,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1135389,42646,74269297,HR,,0,21.3739,828.626,4.2748,0,0,3.701125541,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1130009,6/22/2016,79876001,RO,,0,2290.3222,65377.3864,458.0644,0,0,396.5925541,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1132699,8/19/2013,41697601,GB,,0,0,0,0,0,0,0,0
